Nyregistrerade personbilar efter region, drivmedel och månad;
;;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09
;gas/gas flexifuel;2;2;0;6;0;7;3
;övriga bränslen;0;0;1;0;0;0;0
0114 Upplands Väsby;bensin;52;58;80;75;54;92;59
;diesel;35;29;35;39;30;35;14
;el;5;4;6;6;5;8;7
;elhybrid;10;13;8;9;21;8;12
;laddhybrid;5;3;3;4;9;7;12
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;1;0;3;1;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0115 Vallentuna;bensin;31;35;31;34;29;54;36
;diesel;15;11;21;24;17;12;4
;el;3;8;7;24;2;3;7
;elhybrid;3;3;4;7;5;9;11
;laddhybrid;7;7;4;9;5;4;5
;etanol/etanol flexifuel;0;0;0;0;0;1;0
;gas/gas flexifuel;0;0;0;0;0;3;2
;övriga bränslen;0;0;0;0;1;0;0
0117 Österåker;bensin;75;61;68;45;46;85;63
;diesel;28;27;32;23;11;25;14
;el;16;12;8;9;9;1;14
;elhybrid;13;30;17;20;16;28;21
;laddhybrid;4;6;3;2;3;7;11
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;0;0;0;0;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0120 Värmdö;bensin;48;55;57;67;53;53;39
;diesel;31;22;25;24;20;23;11
;el;12;5;5;11;8;10;5
;elhybrid;6;6;9;11;17;8;11
;laddhybrid;5;5;5;8;3;6;3
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;0;0;0;0;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0123 Järfälla;bensin;78;93;89;62;60;82;71
;diesel;48;36;32;34;20;24;28
;el;18;6;3;7;5;6;13
;elhybrid;6;9;13;15;12;17;14
;laddhybrid;6;10;7;2;5;5;2
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;3;1;8;5;4;6;5
;övriga bränslen;0;0;0;0;0;0;0
0125 Ekerö;bensin;25;30;27;26;30;27;26
;diesel;13;12;20;10;8;9;6
;el;11;4;3;9;6;6;6
;elhybrid;1;3;4;3;5;4;6
;laddhybrid;3;2;0;4;3;4;3
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;0;0;2;1;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0126 Huddinge;bensin;142;108;157;159;132;158;112
;diesel;65;59;51;80;45;60;53
;el;19;8;8;12;5;4;13
;elhybrid;41;24;26;32;28;27;27
;laddhybrid;14;18;11;13;9;32;20
;etanol/etanol flexifuel;0;0;0;0;0;2;1
;gas/gas flexifuel;3;0;6;7;1;5;4
;övriga bränslen;0;0;0;0;0;0;0
0127 Botkyrka;bensin;57;74;64;59;69;61;81
;diesel;25;26;28;31;16;15;21
;el;10;6;5;3;6;1;8
;elhybrid;7;7;9;17;14;20;16
;laddhybrid;6;10;8;6;4;7;5
;etanol/etanol flexifuel;0;0;0;0;0;1;1
;gas/gas flexifuel;3;1;3;3;7;2;2
;övriga bränslen;0;0;0;0;0;0;0
0128 Salem;bensin;14;10;23;17;18;21;21
;diesel;6;9;6;7;4;3;14
;el;0;0;1;1;1;1;2
;elhybrid;4;1;5;7;1;4;2
;laddhybrid;1;0;1;0;0;1;1
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;1;0;0;0;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0136 Haninge;bensin;183;88;144;184;95;115;195
;diesel;56;56;65;42;26;30;35
;el;11;7;11;15;2;5;10
;elhybrid;13;5;17;23;22;23;11
;laddhybrid;10;10;6;7;10;9;7
;etanol/etanol flexifuel;0;0;1;0;0;0;0
;gas/gas flexifuel;1;1;1;0;0;4;1
;övriga bränslen;0;0;0;0;0;0;0
0138 Tyresö;bensin;42;38;53;51;51;46;39
;diesel;21;23;20;29;14;12;7
;el;6;3;3;7;1;4;5
;elhybrid;5;5;12;8;7;7;10
;laddhybrid;3;1;1;5;6;6;2
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;0;0;0;0;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0139 Upplands-Bro;bensin;31;20;31;22;28;22;36
;diesel;16;14;25;15;10;9;15
;el;5;0;4;3;3;2;4
;elhybrid;2;1;3;7;5;16;3
;laddhybrid;3;1;0;2;1;1;1
;etanol/etanol flexifuel;0;0;1;0;0;0;0
;gas/gas flexifuel;0;0;0;1;2;0;1
;övriga bränslen;0;0;0;0;0;0;0
0140 Nykvarn;bensin;12;12;15;11;19;14;13
;diesel;6;5;7;3;2;2;5
;el;6;0;0;0;0;1;0
;elhybrid;0;2;1;2;1;1;0
;laddhybrid;0;1;0;0;0;0;2
;etanol/etanol flexifuel;0;0;0;0;0;0;0
;gas/gas flexifuel;0;0;0;0;0;0;0
;övriga bränslen;0;0;0;0;0;0;0
0160 Täby;bensin;101;95;71;97;75;98;83
;diesel;37;69;51;45;28;30;24
;el;42;21;11;14;17;9;30
;elhybrid;7;6;21;15;24;31;24
;laddhybrid;13;8;9;11;20;12;11
;etanol/etanol flexifuel;0;0;0;0;0;2;2
;gas/gas flexifuel;0;0;0;0;1;1;0
;övriga bränslen;0;0;0;0;0;0;0
0162 Danderyd;bensin;44;36;52;55;36;44;33
;diesel;55;56;61;78;28;51;36
;el;43;20;7;18;17;12;25
;elhybrid;3;7;3;9;15;16;11
;laddhybrid;40;32;24;21;10;15;12
;etanol/etanol flexifuel;1;0;0;0;0;0;1
;gas/gas flexifuel;0;0;0;2;0;0;1
;övriga bränslen;0;0;0;0;0;0;0
0163 Sollentuna;bensin;113;172;251;125;127;142;108
;diesel;155;163;239;177;109;93;102
;el;46;28;46;50;31;41;45
;elhybrid;9;11;13;19;22;32;25
;laddhybrid;70;61;43;67;74;61;76
;etanol/etanol flexifuel;0;0;0;0;0;0;1
;gas/gas flexifuel;0;1;5;0;0;1;2
;övriga bränslen;0;0;0;0;0;0;0
0180 Stockholm;bensin;1899;1905;2665;2253;1375;1645;1630
;diesel;2977;2991;3251;2895;1704;1844;1766
;el;364;214;211;266;173;182;436
;elhybrid;144;269;357;313;424;346;381
;laddhybrid;886;480;394;422;295;403;547
;etanol/etanol flexifuel;8;2;5;2;0;2;0
;gas/gas flexifuel;26;42;122;110;64;88;49
;övriga bränslen;0;0;0;0;0;0;0
0181 Södertälje;bensin;253;212;301;223;189;240;259
;diesel;302;241;296;272;134;238;144
;el;16;18;16;30;10;18;17
;elhybrid;9;7;16;38;21;21;40
;laddhybrid;8;14;15;8;10;11;15
;etanol/etanol flexifuel;0;0;0;0;0;0;1
;gas/gas flexifuel;4;18;32;36;28;37;41
;övriga bränslen;0;0;0;0;0;0;0
